name,artist,album,final_user,final_year,user_confidence,year_confidence,overall_confidence,source
You Should Know (Brothers And Sisters),Adam Naas,Adam Naas,beta,2021,1.0,1.0,1.0,labeled
Best Part (feat. H.E.R.),H.E.R.,H.E.R.,beta,2021,1.0,1.0,1.0,labeled
Embel,Vlashent Sata,Hana,beta,2021,1.0,1.0,1.0,labeled
"The Seasons, Op. 37-bis: XI. November - In the Troika",Pyotr Ilyich Tchaikovsky,Tchaikovsky: The Seasons and Grand Sonata,beta,2021,1.0,1.0,1.0,labeled
Take It Away,Rod Ladgrove,Across the Universe,beta,2021,1.0,1.0,1.0,labeled
"Damn, dis-moi (feat. Dâm-Funk)",Christine and the Queens,"Damn, dis-moi (feat. Dâm-Funk)",beta,2021,1.0,1.0,1.0,labeled
At All,Joshua Hyslop,Echos,beta,2021,1.0,1.0,1.0,labeled
"Nocturne No. 1 in E flat, Op. 33, No. 1",Gabriel Fauré,Fauré: Piano Music,beta,2021,1.0,1.0,1.0,labeled
I'll Come to You,Rosemary & Garlic,The Kingfisher,beta,2021,1.0,1.0,1.0,labeled
Golden Days,The Woodlands,Gems and Bones,beta,2021,1.0,1.0,1.0,labeled
"6 Romances sans paroles, Op. 76: No. 1, Souvenance",Cécile Chaminade,Chaminade: Works for Piano,beta,2021,1.0,1.0,1.0,labeled
Change It All,Harrison Storm,Change It All,beta,2021,1.0,1.0,1.0,labeled
Honeysuckle Rose,Jane Monheit,Taking A Chance On Love,beta,2021,1.0,1.0,1.0,labeled
Vesoul,Jacques Brel,J'Arrive (Vol.12),beta,2021,1.0,1.0,1.0,labeled
Nocturne in F Minor (Opus 55 #1),Peter Beets,Chopin Meets the Blues Live,beta,2021,1.0,1.0,1.0,labeled
Spirit Cold,Tall Heights,Neptune,beta,2021,1.0,1.0,1.0,labeled
All the Pretty Girls - Recorded at Spotify Studios NYC,KALEO,Spotify Singles,beta,2021,1.0,1.0,1.0,labeled
Colder Heavens,Blanco White,Colder Heavens,beta,2021,1.0,1.0,1.0,labeled
There Will Be Time,Mumford & Sons,There Will Be Time,beta,2021,1.0,1.0,1.0,labeled
Take A Bow,Rihanna,Good Girl Gone Bad: Reloaded,beta,2021,1.0,1.0,1.0,labeled
When You Say Nothing At All,Boyzone,...By Request,beta,2021,1.0,1.0,1.0,labeled
Superman (It's Not Easy),Five For Fighting,America Town,beta,2021,1.0,1.0,1.0,labeled
Fast Car,Tracy Chapman,Tracy Chapman,beta,2021,1.0,1.0,1.0,labeled
