name,artist,album,final_user,final_year,user_confidence,year_confidence,overall_confidence,source
Ayahuasca at Night,Big Wild,Ayahuasca at Night,beta,2019,1.0,1.0,1.0,labeled
Low Rising,The Swell Season,Strict Joy (Deluxe Edition),beta,2019,1.0,1.0,1.0,labeled
"Wiegenlied, Op. 49, No. 4 (Arr. for Cello and Piano) [Brahms Lullaby]",Yo-Yo Ma,Songs from the Arc of Life,beta,2019,1.0,1.0,1.0,labeled
Breathing Underwater,Emeli Sandé,Long Live The Angels (Deluxe),beta,2019,1.0,1.0,1.0,labeled
Booty Swing,Parov Stelar,"The Princess, Pt. Two",beta,2019,1.0,1.0,1.0,labeled
Clown,Emeli Sandé,Our Version Of Events (Special Edition),beta,2019,1.0,1.0,1.0,labeled
Invincible,Big Wild,Invincible,beta,2019,1.0,1.0,1.0,labeled
Punkadiddle,Mike Oldfield,Platinum (Deluxe Edition),beta,2019,1.0,1.0,1.0,labeled
Landslide,The Chicks,The Essential The Chicks,beta,2019,1.0,1.0,1.0,labeled
Where Paths Meet,Kevin Kern,Always Near – A Romantic Collection,beta,2019,1.0,1.0,1.0,labeled
Sister,Haux,All We've Known,beta,2019,1.0,1.0,1.0,labeled
"Suite in B-Flat Major, HWV 434: IV. Menuet",Khatia Buniatishvili,Motherland,beta,2019,1.0,1.0,1.0,labeled
Venice Venture,Big Wild,Venice Venture,beta,2019,1.0,1.0,1.0,labeled
Born To Die - Woodkid & The Shoes Remix,Lana Del Rey,Born To Die,beta,2019,1.0,1.0,1.0,labeled
Lo meu país,La Talvera,Bramadís,beta,2019,1.0,1.0,1.0,labeled
I Need Some Sleep,Eels,Meet The EELS: Essential EELS 1996-2006 Vol. 1,beta,2019,1.0,1.0,1.0,labeled
Joker And The Thief,Wolfmother,Wolfmother,beta,2019,1.0,1.0,1.0,labeled
Cold Water (feat. Justin Bieber & MØ),Major Lazer,Cold Water (feat. Justin Bieber & MØ),beta,2019,1.0,1.0,1.0,labeled
Wonderland,Caravan Palace,<I°_°I>,beta,2019,1.0,1.0,1.0,labeled
The Enchanted Garden,Kevin Kern,Enchanted Piano,beta,2019,1.0,1.0,1.0,labeled
Wide Open Spaces,The Chicks,Wide Open Spaces,beta,2019,1.0,1.0,1.0,labeled
Sophie,Bear's Den,Without/Within,beta,2019,1.0,1.0,1.0,labeled
"Liebestraum No. 3 in A-Flat Major, S. 541/3",Franz Liszt,Liszt: Piano Works,beta,2019,1.0,1.0,1.0,labeled
Story O' my LF,Shaka Ponk,The White Pixel Ape (Smoking Isolate to Keep in Shape),beta,2019,1.0,1.0,1.0,labeled
The Lurking Fear - Part 1,H.P. Lovecraft,HP Lovecraft - The Short Stories - Volume 1,beta,2019,1.0,1.0,1.0,labeled
Mr. E's Beautiful Blues,Eels,Meet The EELS: Essential EELS 1996-2006 Vol. 1,beta,2019,1.0,1.0,1.0,labeled
"Waltz in C-sharp minor, Op. 64 No. 2",Frédéric Chopin,Chopin: Works for Piano,beta,2019,1.0,1.0,1.0,labeled
Ordinary - Sam Holiday Remix,Two Door Cinema Club,Gameshow (Deluxe Edition),beta,2019,1.0,1.0,1.0,labeled
That Look You Give That Guy,Eels,Hombre Lobo,beta,2019,1.0,1.0,1.0,labeled
Sundial Dreams,Kevin Kern,More Than Words,beta,2019,1.0,1.0,1.0,labeled
Not Ready to Make Nice,The Chicks,The Essential The Chicks,beta,2019,1.0,1.0,1.0,labeled
Selah,Emeli Sandé,Long Live The Angels (Deluxe),beta,2019,1.0,1.0,1.0,labeled
Minor Swing,Django Reinhardt,The Best Of Django Reinhardt,beta,2019,1.0,1.0,1.0,labeled
Aftergold,Big Wild,Aftergold,beta,2019,1.0,1.0,1.0,labeled
